job_title,company_name,company_location,total_salary,City,State,link
Python Developer,Persystent Consultancy Services,"Noida, Uttar Pradesh",600000.0,Noida,Uttar Pradesh,https://in.indeed.com/rc/clk?jk=21e25ce7f6a26962&bb=0B7LLwUTcsK2r5h6jonfqX0_s3lrzktUJ4VP-zhuyiiB5ipWq4jCdacl-zKUqFe5&xkcb=SoCg67M3G1HYdpx9F50JbzkdCdPP&fccid=aad9a3fb8261aada&vjs=3
VP Technology ( Software Development ),Ramognee Technologies Pvt. Ltd.,"Gurgaon, Haryana",Not Applicable,Gurgaon,Haryana,https://in.indeed.com/rc/clk?jk=7d8bc341e6f2f105&bb=0B7LLwUTcsKP8SL9JP2TauR75j2f0uQ-p20FTpMWAnip1jEcAzlRkzCLiN7PswLR&xkcb=SoCa67M3G1HYdpx9F50PbzkdCdPP&fccid=5a1e2b503d511aea&cmp=Ramognee-Technologies-Pvt.-Ltd.&ti=Software+Development+Specialist&vjs=3
Product Manager - Analytics,Airtel India,"Gurgaon, Gurugram, Haryana",Not Applicable,Gurgaon,Gurugram,https://in.indeed.com/rc/clk?jk=c963bfad34ae683e&bb=CAhwGSEAeF24zeWOpJFUjbQvCXPOJfGntDNG141ERYtyZ6Z9uK3vUKB6GS5C90Ip&xkcb=SoCz67M3G1HYdoR9F50KbzkdCdPP&fccid=bb95ccf807a8406a&vjs=3
Software Developer,Acuity Knowledge Partners,"Gurgaon, Haryana",Not Applicable,Gurgaon,Haryana,https://in.indeed.com/rc/clk?jk=535b6df1d1f5f747&bb=CAhwGSEAeF3Xw53sA5EOLGFjY13BkNhss4nelYfIWAkK1LO17XGcS_PBRm-7WLtn&xkcb=SoCa67M3G1HYdoR9F50IbzkdCdPP&fccid=f559728c3645c575&vjs=3
NSO/Java developer,Airtel India,"Gurgaon, Haryana",Not Applicable,Gurgaon,Haryana,https://in.indeed.com/rc/clk?jk=c6e332ab82a5dc99&bb=eag6p4iTsy0DvjxLt6iUk8aCqtkR9NfCuaoW3FkmQ70xQa6er4b1eEOCtMzCezOf&xkcb=SoBC67M3G1HYdox9F50LbzkdCdPP&fccid=bb95ccf807a8406a&vjs=3
Web API Developer,Akhil Systems,"Gurgaon, Haryana",Not Applicable,Gurgaon,Haryana,https://in.indeed.com/rc/clk?jk=e43b1b6be568003f&bb=eag6p4iTsy0mvieEElct4_b5NbWoyRYWAcjpVlGA3k8hby90IaMcAU1uZq04_q-u&xkcb=SoBr67M3G1HYdox9F50JbzkdCdPP&fccid=2d5a17c4df026434&vjs=3
IT Developer,Insight Enterprises,"Gurgaon, Haryana",Not Applicable,Gurgaon,Haryana,https://in.indeed.com/rc/clk?jk=96e9499cfcef1133&bb=0ygHoHe0asz0dm-SzmP4OdirtAIEcbJ2lSkw-2R7dP9j3H7D79SXPGEYBlL5pz49Zl3oNV5oZwHUTpHnQ-aYKHHbT4qz5PW6nxKp3L2_Qq8%3D&xkcb=SoDU67M3G1HVeUQsXJ0LbzkdCdPP&fccid=69247daab4a84a92&vjs=3
Python Developer,TeamPlus Staffing Solution Pvt Ltd,"Noida, Uttar Pradesh",Not Applicable,Noida,Uttar Pradesh,https://in.indeed.com/rc/clk?jk=30338640f0d4b152&bb=0ygHoHe0asz0dm-SzmP4OaNnthGy1KHXu-hJw0oD5Br7eINlb_S_yhJOpf40uB7juBwuOfLvEwiPCEKJ48bCK5qAMe9fYm3DWnSmGqsJju8%3D&xkcb=SoBg67M3G1HVeUQsXJ0KbzkdCdPP&fccid=ca2f37dcc1820233&vjs=3
Software Developer,S&P Global,"Gurgaon, Haryana",Not Applicable,Gurgaon,Haryana,https://in.indeed.com/rc/clk?jk=ec5753444a842791&bb=0ygHoHe0asz0dm-SzmP4Oaa5L0IH16HkMSpNA8R68urquITgIkxEjM0P_Hy8-Q8ZSGirMtRzR4YTWWi-8Cz9w8gB3uLMa_6VGI3PLEAQ8_g%3D&xkcb=SoD967M3G1HVeUQsXJ0JbzkdCdPP&fccid=b716e44d2c6283e7&vjs=3
Zoho Developer,Evoluz Global Solutions,"Delhi, Delhi",400000.0,Delhi,Delhi,https://in.indeed.com/rc/clk?jk=86eeb7e397d93561&bb=0ygHoHe0asz0dm-SzmP4OSJ7rXKR0xBQReEbemcfHJMC7_lQ-hJkCxqETMXLZGkOvt-q6NxELujHqX2viD0SMDmhHYi9reZyWDtEPwD9Cyg%3D&xkcb=SoBJ67M3G1HVeUQsXJ0IbzkdCdPP&fccid=c1059348a9df4e54&cmp=Evoluz-Global-Solutions&ti=Developer&vjs=3
Technology Lead - Python Developer,Ameriprise India,"Gurgaon, Haryana",Not Applicable,Gurgaon,Haryana,https://in.indeed.com/rc/clk?jk=566eb48cd8f2d014&bb=0ygHoHe0asz0dm-SzmP4OQTbnaoMbTS4Ovc3Btrkqpf7pG-CJ64xIkEZAAwBzPzHKjFYHj48xltFqvTjFGAI3q8kpNmN4ay7iDS7zWnXEsk%3D&xkcb=SoDH67M3G1HVeUQsXJ0PbzkdCdPP&fccid=990782d378c3e8b6&vjs=3
BackEnd Developer,Recex,"Gurgaon, Haryana",3250000.0,Gurgaon,Haryana,https://in.indeed.com/rc/clk?jk=d9105bad864d6e98&bb=0ygHoHe0asz0dm-SzmP4OXwuXShQKwI_zv3b1OIo62NvzeCmnVFF3GlEoVOAB0vUmfVkH8Fb0dU5VEJ8Z7rrZXLOAzMxW38ixBsZcbSi1Wc%3D&xkcb=SoBz67M3G1HVeUQsXJ0ObzkdCdPP&fccid=572096e95cbcbad7&vjs=3
Full Stack Web Developer,Capital Street fx,"Gurgaon, Haryana",330000.0,Gurgaon,Haryana,https://in.indeed.com/rc/clk?jk=59d694cd2d7ed586&bb=0ygHoHe0asz0dm-SzmP4OVE4h4It-asMKv9fhFDkq6mvswrZs0OEagsyde9MdAa2ojBRnGPUhiOQNFbAtZnYoLXHulAm9JxFIWOmBRpijw4%3D&xkcb=SoDu67M3G1HVeUQsXJ0NbzkdCdPP&fccid=dc1ea1476aff4847&cmp=Capital-Street-FX&ti=Full+Stack+Developer&vjs=3
Website Designer and Developer,Sigma Insys,"New Delhi, Delhi",125595.84,New Delhi,Delhi,https://in.indeed.com/rc/clk?jk=dd2043cbfc082041&bb=0ygHoHe0asz0dm-SzmP4Oe4BdFx3V6kTcoJxlr_otKPBMLbBIzYNh6rD84UBTwYEcA7LkxqwdOdIZhHs6SUcATkSTHnWB3dnBK54utzas8g%3D&xkcb=SoBa67M3G1HVeUQsXJ0MbzkdCdPP&fccid=52a6db9eaae1bf80&cmp=Sigma-Insys&ti=Web+Designer&vjs=3
Automation Developer,Airtel India,"Gurgaon, Gurugram, Haryana",Not Applicable,Gurgaon,Gurugram,https://in.indeed.com/rc/clk?jk=e6777695f779d6c7&bb=0ygHoHe0asz0dm-SzmP4ObX2s49R4MuqCnZOohPP0t0EHNjjPxYVTuRbc7OtxH95329Mp6W3BiUXWxRUdj2J3b5ArHimYAPdgIMOn5QsnSc%3D&xkcb=SoCz67M3G1HVeUQsXJ0DbzkdCdPP&fccid=bb95ccf807a8406a&vjs=3
