job_title,company_name,company_location,total_salary,City,State,link
PL/SQL| Python| API| Unix| Control-M,Michael Page,"Gurgaon, Haryana",Not Applicable,Gurgaon,Haryana,https://in.indeed.com/rc/clk?jk=669f36c9873e0cbb&bb=Q6QnohoNRAiB_8T1AMyEAm9AdGgA207o-93Gvh7IGwR_Gysn936nF6RCzJgur2CHYXDIRpqM6UoSsBGCYVi4-QkggSQxjnuvgfPxWU7oUGs%3D&xkcb=SoCI67M3G1HSgEQHhB0FbzkdCdPP&fccid=77087bd1709a8148&vjs=3
Django Developer,Startxlabs Technologies,"Gurgaon, Haryana",Not Applicable,Gurgaon,Haryana,https://in.indeed.com/rc/clk?jk=54923e40e0aced7b&bb=t_XUvmMy_hBmKQFexLIRF639hy5Ko6zQuN2mjqomHuFd_jP9OYu9d8BUQHbXN3WF&xkcb=SoDA67M3G1Hvg1Rub50JbzkdCdPP&fccid=3d4e50fbe623be4c&vjs=3
Python Developer Full-Time,HyreFox Consultants,"Noida, Uttar Pradesh",775000.0,Noida,Uttar Pradesh,https://in.indeed.com/rc/clk?jk=49cd25a6042fcc02&bb=t_XUvmMy_hBSTXRvx8AmsjM82apVpA8kyEMgp1xX6VJSjhaeU93aF2jJ1OpmtPPu&xkcb=SoD667M3G1Hvg1Rub50PbzkdCdPP&fccid=44214466d79246f8&vjs=3
NSO Quality Analyst,Airtel India,"Gurgaon, Gurugram, Haryana",Not Applicable,Gurgaon,Gurugram,https://in.indeed.com/rc/clk?jk=ddd00693a5e60451&bb=DYXsT4WXzAz6amiUD0VtXNlFG6KrNUc9Ah0GosYdjuUzPlKiyE2Y1XmeENc7fGxf&xkcb=SoCF67M3G1Hvg1xub50JbzkdCdPP&fccid=bb95ccf807a8406a&vjs=3
Software Developer (Reverse Engineer),AD Media Network LLP,"Noida, Uttar Pradesh",150000.0,Noida,Uttar Pradesh,https://in.indeed.com/rc/clk?jk=ddbf5fdf92633ef9&bb=DYXsT4WXzAxBqURZrJq6WWa9i3AvGgLHOLNpnC6z2KXYScI5mhrK6ePxrqctvEQw&xkcb=SoC_67M3G1Hvg1xub50PbzkdCdPP&fccid=e59f668a504404b2&cmp=AD-Media-Network-LLP&ti=Software+Engineer&vjs=3
PHP Developer,MCSAM Pvt. Ltd.,"Gurgaon, Haryana",Not Applicable,Gurgaon,Haryana,https://in.indeed.com/rc/clk?jk=e927f06443e243cf&bb=_lGkBkbFaSZ8aOr2lCRwZ7KsCq5AcrS606Fveuv4Wl3TRcFM-nBV5mZPChUpPm6X&xkcb=SoAL67M3G1Hvg0Rub50JbzkdCdPP&fccid=98c5caac35be0ed8&vjs=3
Python Django / ML Developers [I+S/E3-MM1],vinove,"Noida, Uttar Pradesh",1200000.0,Noida,Uttar Pradesh,https://in.indeed.com/rc/clk?jk=bba8ebd0bbe20d3a&bb=_lGkBkbFaSYsPpy8llVEdObentyUup1-Nn-qsB7OIf4OifdjFgY2yY5V9iueuFSB&xkcb=SoAx67M3G1Hvg0Rub50PbzkdCdPP&fccid=7b3c779784e45fc1&vjs=3
AI / ML Developer (Standard),Infogain,"Gurgaon, Haryana",Not Applicable,Gurgaon,Haryana,https://in.indeed.com/rc/clk?jk=da4bd28e34894eee&bb=3s-dt3d7WoMe-9IUWiGB-ETuYzBN6nrPaPsm-pl6EJvz0grwNkvK-mveAKx3WBox&xkcb=SoDT67M3G1Hvg0xub50KbzkdCdPP&fccid=3c566800dc2b9808&vjs=3
Backend Engineer,KlearNow,"Gurgaon, Haryana",Not Applicable,Gurgaon,Haryana,https://in.indeed.com/rc/clk?jk=3052415d43c164b6&bb=3s-dt3d7WoMqFK2VbmUNWTwMINw-rKVQx9q2z9juEGujsdfTaZsGcIiy74VFAsT-&xkcb=SoD667M3G1Hvg0xub50IbzkdCdPP&fccid=ccdb80a8fb2b867e&vjs=3
SDE 2,Camions Logistics Solutions Private Limited,"Gurgaon, Haryana",1400000.0,Gurgaon,Haryana,https://in.indeed.com/rc/clk?jk=4f79f92fe112d128&bb=6KF52yQGRvAC3h_OFEBTUZVTmiy6wbvyZZFO5_g4Yo7Yuwhx320qh7YHbvn05D1x&xkcb=SoA-67M3G1Hvg3Rub50LbzkdCdPP&fccid=e60b0f7321138c0d&cmp=camions-logistics-solutions-private-limited&ti=Senior+Software+Engineer&vjs=3
Software Engineer (C),C-Zentrix,"Gurgaon, Haryana",Not Applicable,Gurgaon,Haryana,https://in.indeed.com/rc/clk?jk=781ca36920f4ad54&bb=6KF52yQGRvBDrcT3yjaXpblfTsczONW1C02eDNrsNoAD2JhIEU4opn6r4azRdt9D&xkcb=SoAt67M3G1Hvg3Rub50PbzkdCdPP&fccid=f61192e11f5616fd&vjs=3
